vectorizer_type,stopwords_option,stopwords_count,c_value,accuracy,mcc,train_time,config_str
bow,custom,40,10.0,0.7855504587155964,0.5718478611887138,2.448031425476074,bow_custom_40_C10.0
tfidf,custom,40,10.0,0.7855504587155964,0.5720060563379823,0.9087080955505371,tfidf_custom_40_C10.0
tfidf,custom,20,100.0,0.7844036697247706,0.5692053648440487,4.565279006958008,tfidf_custom_20_C100.0
bow,custom,10,100.0,0.783256880733945,0.5673977071646322,14.61447024345398,bow_custom_10_C100.0
tfidf,,0,100.0,0.783256880733945,0.5673977071646322,4.94703221321106,tfidf_None_C100.0
bow,custom,200,0.01,0.7809633027522935,0.5617551426001397,0.2765469551086426,bow_custom_200_C0.01
bow,custom,100,1.0,0.7809633027522935,0.5622449912020757,0.5408720970153809,bow_custom_100_C1.0
bow,english,0,10.0,0.7809633027522935,0.563325551688186,2.9888219833374023,bow_english_C10.0
tfidf,custom,200,1.0,0.7798165137614679,0.5597912491498855,0.36774611473083496,tfidf_custom_200_C1.0
tfidf,custom,200,0.01,0.7798165137614679,0.5594465824135257,0.2638280391693115,tfidf_custom_200_C0.01
tfidf,custom,100,10.0,0.7786697247706422,0.5580286799738663,1.296560287475586,tfidf_custom_100_C10.0
bow,custom,20,100.0,0.7763761467889908,0.5534222862355838,15.099964618682861,bow_custom_20_C100.0
tfidf,english,0,10.0,0.7752293577981652,0.5516943184470804,1.2712504863739014,tfidf_english_C10.0
bow,custom,30,100.0,0.7752293577981652,0.5511922968647227,10.879156351089478,bow_custom_30_C100.0
tfidf,custom,200,10.0,0.7752293577981652,0.5511922968647227,0.9487991333007812,tfidf_custom_200_C10.0
tfidf,custom,30,100.0,0.7729357798165137,0.5463136546805549,3.9751973152160645,tfidf_custom_30_C100.0
bow,custom,40,100.0,0.7729357798165137,0.5464434040920049,13.778606176376343,bow_custom_40_C100.0
bow,custom,50,10.0,0.7717889908256881,0.5445142162813702,2.312998056411743,bow_custom_50_C10.0
tfidf,custom,40,100.0,0.7706422018348624,0.541837950520055,5.197717905044556,tfidf_custom_40_C100.0
bow,custom,200,1.0,0.768348623853211,0.5371063584516905,0.4574711322784424,bow_custom_200_C1.0
bow,custom,100,10.0,0.768348623853211,0.537232496948105,1.9003267288208008,bow_custom_100_C10.0
bow,custom,200,10.0,0.7672018348623854,0.5347462309969726,2.536912441253662,bow_custom_200_C10.0
tfidf,custom,50,100.0,0.7672018348623854,0.534638232371327,4.2016448974609375,tfidf_custom_50_C100.0
bow,english,0,100.0,0.7672018348623854,0.5358258048799152,13.825623035430908,bow_english_C100.0
bow,custom,50,100.0,0.7649082568807339,0.5303903175441712,14.560415744781494,bow_custom_50_C100.0
tfidf,custom,100,100.0,0.7603211009174312,0.5213142154311313,3.4567136764526367,tfidf_custom_100_C100.0
bow,custom,100,100.0,0.7591743119266054,0.5185840006215287,10.953370094299316,bow_custom_100_C100.0
tfidf,custom,500,0.01,0.7580275229357798,0.5173570866754293,0.25546908378601074,tfidf_custom_500_C0.01
tfidf,english,0,100.0,0.7568807339449541,0.5151420115741661,4.673524618148804,tfidf_english_C100.0
bow,custom,200,100.0,0.7534403669724771,0.5069442696219267,10.161942481994629,bow_custom_200_C100.0
tfidf,custom,200,100.0,0.7511467889908257,0.5027519551144761,3.5414018630981445,tfidf_custom_200_C100.0
tfidf,custom,500,1.0,0.75,0.5011098486680211,0.3406345844268799,tfidf_custom_500_C1.0
tfidf,custom,500,10.0,0.7454128440366973,0.49156586462854324,0.9159934520721436,tfidf_custom_500_C10.0
tfidf,custom,500,0.1,0.7431192660550459,0.48726188783691804,0.2753317356109619,tfidf_custom_500_C0.1
bow,custom,500,0.01,0.7419724770642202,0.48444742204433056,0.2538752555847168,bow_custom_500_C0.01
bow,custom,500,0.1,0.7408256880733946,0.48234292302521914,0.3147008419036865,bow_custom_500_C0.1
bow,custom,500,1.0,0.7362385321100917,0.47298846186981297,0.4214437007904053,bow_custom_500_C1.0
tfidf,custom,500,100.0,0.731651376146789,0.4633606941969614,4.066266298294067,tfidf_custom_500_C100.0
bow,custom,500,10.0,0.7293577981651376,0.45904511840114176,2.0442020893096924,bow_custom_500_C10.0
bow,custom,500,100.0,0.7190366972477065,0.4384748998392686,11.02538514137268,bow_custom_500_C100.0
