vectorizer_type,stopwords_option,stopwords_count,n_estimators,max_depth,accuracy,mcc,train_time,config_str
tfidf,custom,50,200,0,0.7878440366972477,0.5761539052947845,486.60092186927795,tfidf_custom_50_n200_d0
tfidf,custom,50,100,0,0.783256880733945,0.5668568812510089,262.9909152984619,tfidf_custom_50_n100_d0
tfidf,custom,50,50,0,0.7775229357798165,0.5558549956868745,132.61216568946838,tfidf_custom_50_n50_d0
bow,,0,100,0,0.7649082568807339,0.5301434482608672,257.4833490848541,bow_None_n100_d0
bow,,0,200,30,0.7649082568807339,0.5306888577433636,21.894227981567383,bow_None_n200_d30
tfidf,custom,100,200,0,0.7626146788990825,0.5250219133974567,513.224335193634,tfidf_custom_100_n200_d0
bow,custom,50,200,0,0.7626146788990825,0.5272143920235849,665.5470631122589,bow_custom_50_n200_d0
tfidf,,0,100,0,0.7614678899082569,0.523448682327187,185.56903386116028,tfidf_None_n100_d0
bow,,0,200,0,0.7603211009174312,0.5219742662265509,525.3236203193665,bow_None_n200_d0
bow,,0,200,20,0.7591743119266054,0.5200243407339683,10.737512588500977,bow_None_n200_d20
bow,custom,50,100,0,0.7591743119266054,0.5199584575863384,327.1836485862732,bow_custom_50_n100_d0
bow,,0,100,30,0.7591743119266054,0.519824920137443,11.648524761199951,bow_None_n100_d30
bow,,0,50,30,0.7580275229357798,0.5163863506290982,6.0460686683654785,bow_None_n50_d30
tfidf,,0,200,0,0.7568807339449541,0.5140379718553677,363.5286829471588,tfidf_None_n200_d0
bow,,0,50,0,0.7545871559633027,0.5091324704827442,129.10836911201477,bow_None_n50_d0
bow,custom,50,50,0,0.7534403669724771,0.5076309757797696,162.5908224582672,bow_custom_50_n50_d0
tfidf,custom,100,50,0,0.7534403669724771,0.5069253240271445,149.79232358932495,tfidf_custom_100_n50_d0
tfidf,custom,100,100,0,0.7522935779816514,0.5045249861331835,276.14969205856323,tfidf_custom_100_n100_d0
bow,,0,100,20,0.7511467889908257,0.5036563432117126,5.530544996261597,bow_None_n100_d20
tfidf,custom,200,100,0,0.7511467889908257,0.5021520468004353,265.31769251823425,tfidf_custom_200_n100_d0
tfidf,custom,200,200,0,0.75,0.49983183492308925,503.7052466869354,tfidf_custom_200_n200_d0
bow,,0,200,10,0.75,0.5007789912661161,3.947443962097168,bow_None_n200_d10
tfidf,english,0,200,0,0.7488532110091743,0.49755655768568385,563.3197951316833,tfidf_english_n200_d0
tfidf,,0,200,30,0.7477064220183486,0.49726037992348493,16.58169436454773,tfidf_None_n200_d30
tfidf,,0,200,20,0.7465596330275229,0.4977546627241961,8.8351309299469,tfidf_None_n200_d20
bow,english,0,100,30,0.7454128440366973,0.4938432838288709,9.152055025100708,bow_english_n100_d30
tfidf,custom,200,50,0,0.7454128440366973,0.4907427962941536,140.8991551399231,tfidf_custom_200_n50_d0
tfidf,english,0,50,0,0.7454128440366973,0.4906072899330679,152.9680995941162,tfidf_english_n50_d0
bow,english,0,100,20,0.7454128440366973,0.492665484924192,4.7872703075408936,bow_english_n100_d20
bow,custom,50,200,30,0.7442660550458715,0.4889327738996286,17.437135219573975,bow_custom_50_n200_d30
tfidf,,0,50,0,0.7431192660550459,0.4863204042325966,92.8688702583313,tfidf_None_n50_d0
tfidf,english,0,100,0,0.7431192660550459,0.4862100056680194,299.8095700740814,tfidf_english_n100_d0
bow,custom,100,100,0,0.7419724770642202,0.4875458209188125,353.4501311779022,bow_custom_100_n100_d0
bow,english,0,200,20,0.7419724770642202,0.4858781128711319,8.913810729980469,bow_english_n200_d20
tfidf,,0,100,20,0.7408256880733946,0.48438578535362514,4.5489161014556885,tfidf_None_n100_d20
bow,custom,200,100,0,0.7396788990825688,0.4794247147098296,360.20613503456116,bow_custom_200_n100_d0
bow,custom,100,200,0,0.7385321100917431,0.4801581205801414,701.9876437187195,bow_custom_100_n200_d0
bow,custom,100,50,0,0.7385321100917431,0.47964632955086545,172.06388449668884,bow_custom_100_n50_d0
bow,english,0,200,0,0.7373853211009175,0.48568518167963476,701.6913645267487,bow_english_n200_d0
bow,english,0,200,30,0.7362385321100917,0.47371813397892293,16.970383644104004,bow_english_n200_d30
bow,custom,200,50,0,0.7362385321100917,0.4723027763644763,177.7642695903778,bow_custom_200_n50_d0
bow,custom,50,200,20,0.7350917431192661,0.4700830087164507,9.231127500534058,bow_custom_50_n200_d20
bow,custom,50,100,30,0.7350917431192661,0.46994924306393304,9.074462175369263,bow_custom_50_n100_d30
bow,english,0,100,0,0.7350917431192661,0.480451768335272,349.20410680770874,bow_english_n100_d0
bow,custom,200,200,0,0.7350917431192661,0.47050719894649856,687.9399189949036,bow_custom_200_n200_d0
tfidf,,0,50,20,0.7350917431192661,0.47352819226047094,2.3057198524475098,tfidf_None_n50_d20
bow,english,0,50,20,0.7327981651376146,0.47007929189132686,2.6352834701538086,bow_english_n50_d20
bow,english,0,50,0,0.7327981651376146,0.47432572307023174,171.2188322544098,bow_english_n50_d0
tfidf,custom,50,50,30,0.7327981651376146,0.46562133529445526,3.603405714035034,tfidf_custom_50_n50_d30
bow,english,0,100,10,0.7305045871559633,0.46405762273788687,1.9779527187347412,bow_english_n100_d10
tfidf,,0,100,30,0.7305045871559633,0.46431911550300786,8.30138373374939,tfidf_None_n100_d30
bow,,0,100,10,0.7305045871559633,0.46311210598982205,2.3700222969055176,bow_None_n100_d10
bow,,0,50,10,0.7282110091743119,0.4571073742170487,1.5194649696350098,bow_None_n50_d10
bow,english,0,200,10,0.7270642201834863,0.45754547459308137,3.4342076778411865,bow_english_n200_d10
