params_str,mean_test_accuracy,std_test_accuracy,mean_train_accuracy,std_train_accuracy,mean_test_mcc,std_test_mcc,mean_fit_time,mean_score_time
"{'classifier': 'RandomForestClassifier', 'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100, 'vectorizer': 'TfidfVectorizer', 'vectorizer__max_df': 0.5, 'vectorizer__min_df': 5, 'vectorizer__stop_words': 'None'}",0.8750092257289417,0.002622029385416221,0.9894133507899848,0.0004566433621043593,0.7475163259015151,0.005689976405969756,81.90549365679423,11.490332206090292
"{'classifier': 'RandomForestClassifier', 'classifier__max_depth': None, 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 150, 'vectorizer': 'CountVectorizer', 'vectorizer__stop_words': 'None'}",0.8337168954736733,0.002115075688731135,0.8782090410857477,0.0011275538895751903,0.6682083134809068,0.004171599601688362,8.814171155293783,4.068328619003296
"{'classifier': 'RandomForestClassifier', 'classifier__max_depth': None, 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 150, 'vectorizer': 'CountVectorizer', 'vectorizer__stop_words': 'None'}",0.8337168954736733,0.002115075688731135,0.8782090410857477,0.0011275538895751903,0.6682083134809068,0.004171599601688362,13.884487867355347,2.1075159708658853
"{'classifier': 'RandomForestClassifier', 'classifier__max_depth': None, 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100, 'vectorizer': 'CountVectorizer', 'vectorizer__stop_words': 'None'}",0.8333456955951596,0.0015477940089868721,0.8772736118629566,0.0009057859284030662,0.6675223967749876,0.0032520665313087267,17.16692550977071,4.607913653055827
"{'classifier': 'RandomForestClassifier', 'classifier__max_depth': None, 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100, 'vectorizer': 'CountVectorizer', 'vectorizer__stop_words': 'None'}",0.8333456955951596,0.0015477940089868721,0.8772736118629566,0.0009057859284030662,0.6675223967749876,0.0032520665313087267,6.77194619178772,3.4123021761576333
"{'classifier': 'RandomForestClassifier', 'classifier__max_depth': None, 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 150, 'vectorizer': 'TfidfVectorizer', 'vectorizer__max_df': 0.5, 'vectorizer__min_df': 5, 'vectorizer__stop_words': 'None'}",0.8251198766035811,0.0010174719836788231,0.8854251876681793,0.001365614205606538,0.6514163548668609,0.0031321387142969337,21.073879559834797,7.212530453999837
"{'classifier': 'RandomForestClassifier', 'classifier__max_depth': None, 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 150, 'vectorizer': 'TfidfVectorizer', 'vectorizer__max_df': 0.5, 'vectorizer__min_df': 5, 'vectorizer__stop_words': 'None'}",0.8251198766035811,0.0010174719836788231,0.8854251876681793,0.001365614205606538,0.6514163548668609,0.0031321387142969337,18.871691068013508,4.807019472122192
"{'classifier': 'RandomForestClassifier', 'classifier__max_depth': None, 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100, 'vectorizer': 'TfidfVectorizer', 'vectorizer__max_df': 0.5, 'vectorizer__min_df': 5, 'vectorizer__stop_words': 'english'}",0.8241548357585451,0.002853044196594115,0.8773107115462135,0.0014378917034823218,0.6499352404251685,0.005205104131027315,13.614154179890951,7.679861704508464
"{'classifier': 'RandomForestClassifier', 'classifier__max_depth': None, 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100, 'vectorizer': 'TfidfVectorizer', 'vectorizer__max_df': 0.5, 'vectorizer__min_df': 5, 'vectorizer__stop_words': 'english'}",0.8241548357585451,0.002853044196594115,0.8773107115462135,0.0014378917034823218,0.6499352404251685,0.005205104131027315,17.82842739423116,7.3412086963653564
"{'classifier': 'RandomForestClassifier', 'classifier__max_depth': None, 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 150, 'vectorizer': 'TfidfVectorizer', 'vectorizer__max_df': 0.5, 'vectorizer__min_df': 5, 'vectorizer__stop_words': 'english'}",0.8240954471643603,0.0030308158396484437,0.877592821423347,0.0017747612834182348,0.6496945380790217,0.005433340237243352,21.215027173360188,2.609713633855184
"{'classifier': 'RandomForestClassifier', 'classifier__max_depth': None, 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 150, 'vectorizer': 'TfidfVectorizer', 'vectorizer__max_df': 0.5, 'vectorizer__min_df': 5, 'vectorizer__stop_words': 'english'}",0.8240954471643603,0.0030308158396484437,0.877592821423347,0.0017747612834182348,0.6496945380790217,0.005433340237243352,25.374562581380207,5.329534848531087
"{'classifier': 'RandomForestClassifier', 'classifier__max_depth': None, 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100, 'vectorizer': 'TfidfVectorizer', 'vectorizer__max_df': 0.5, 'vectorizer__min_df': 5, 'vectorizer__stop_words': 'None'}",0.8239765780411347,0.0011501535629567965,0.8842150744573902,0.0015076403333766052,0.6491220599294444,0.0032262783489981285,16.400499025980633,6.847597599029541
"{'classifier': 'RandomForestClassifier', 'classifier__max_depth': None, 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100, 'vectorizer': 'TfidfVectorizer', 'vectorizer__max_df': 0.5, 'vectorizer__min_df': 5, 'vectorizer__stop_words': 'None'}",0.8239765780411347,0.0011501535629567965,0.8842150744573902,0.0015076403333766052,0.6491220599294444,0.0032262783489981285,15.3957306543986,4.5845426718393965
"{'classifier': 'RandomForestClassifier', 'classifier__max_depth': None, 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 150, 'vectorizer': 'CountVectorizer', 'vectorizer__stop_words': 'english'}",0.8190916565050541,0.0028290134242799185,0.8610966725895536,0.0006538545341107964,0.6391259462862228,0.005583427493431207,11.215206623077393,3.1278568108876548
"{'classifier': 'RandomForestClassifier', 'classifier__max_depth': None, 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 150, 'vectorizer': 'CountVectorizer', 'vectorizer__stop_words': 'english'}",0.8190916565050541,0.0028290134242799185,0.8610966725895536,0.0006538545341107964,0.6391259462862228,0.005583427493431207,8.84846297899882,2.2332959175109863
